"id";"Q1#1_1_1";"Q1#1_2_1";"Q1#1_3_1";"Q1#1_4_1";"Q1#1_5_1";"Q1#2_1";"Q1#2_2";"Q1#2_3";"Q1#2_4";"Q1#2_5";"Q2";"Q3";"Q4";"Q5";"Q5_1_TEXT";"Q5_2_TEXT";"Q5_3_TEXT";"Q6";"Q7";"Q8";"Q8_2_TEXT";"Q9#1_1_1";"Q9#1_2_1";"Q9#1_3_1";"Q9#2_1";"Q9#2_2";"Q9#2_3";"Q10";"Q10_2_TEXT";"Q11";"Q12";"Q13";"Q13_6_TEXT";"Q14";"Q15";"Q15_2_TEXT";"Q16";"Q16_2_TEXT";"Q17";"Q17_3_TEXT";"Q18";"Q19";"Q20"
24;"Organiseren van praktijktoetsen, zowel organisatie als het borgen van het niveau";"Voortgang praktijkgericht onderzoek, m.n. dataverzameling in de praktijk";"Organisatie van inzage omdat mensen daarvoor niet naar de opleiding konden komen";"We hebben meerdere extra kansen moeten toekennen omdat studenten niet getoetst konden worden vanwege besmet zijn of in quarantaine zitten";"Meer docentbelasting, met name in de termijn van het nakijken omdat we toch willen dat studenten zo min mogelijk studievertraging oplopen";"1";"1";"0";"1";"0";"Wij hebben enkele toetsen op afstand georganiseerd (via Teams) (bv. mondelinge presentaties), dit ging prima, dus daar hebben we geen extra aandacht meer voor nodig. Sterker nog, we blijven dit zo op deze manier organiseren.";"Er was een wekelijks crisisberaad waarin de examencommissie deze zaken in overleg met management en module coördinatoren heeft afgestemd en geaccordeerd.";"De werkwijze tijdens de toets is gecommuniceerd met studenten via Moodle en er zijn opnames gemaakt van de bijeenkomsten. In feite is het nu nog beter te borgen als in de F2F situatie daarvoor.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"Wij hadden als strikt uitgangspunt dat de kwaliteit van toetsing niet in het gedrang mocht komen en dus dezelfde visie op validiteit en betrouwbaarheid. Voor deze opleidingen was dit niet zo ingewikkeld omdat er weinig sprake is van traditionele kennistoetsen.";NA;"Niet van toepassing, docenten bewaakten zelf de goede gang van zaken. Er zijn wel regels opgesteld voor deelname aan beeldschermtoetsen.";"100% veiligheid, geen concessies aan kwaliteit van de toetsing. Er is eigenlijk geen enkele toets waarvan we nu denken dat die geschikt is voor online proctoring.";"Ja, namelijk...";"Wij doen onze standaard activiteiten t.a.v. borging eindniveau.";NA;NA;NA;"Nee";"Nee";"Nee";"Nee";NA;NA;NA;"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen)";NA;NA;"Nee";NA;"Ja, dit heeft de volgende gevolgen:";"Ja wij hanteren dit onderscheid in de vorm van een sanctietabel.";"hbo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
26;"Voorkomen fraude bij online tentamens";"Opvolgen fraude bij online tentamens";"Consistentie tussen online en on campus tentaminering";NA;NA;"1";"1";"1";NA;NA;"Fraude - kwaliteitsborging";"Gewijzigde afnamecondities, verder binnen discretie examinatoren";"Zijn opvraagbaar bij examinatoren";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"Het gaat om het niveau van het diploma. Dat moet niet meer of minder waard zijn door alternatieve vormen van tentaminering of door online tentaminering.";NA;"Zeer goed zicht.
Online surveillance kent zijn beperkingen en biedt minder waarborgen voor het voorkomen van fraude.";"Het is andersom: alleen wanneer daar een duidelijke reden voor is kan online proctoring achterwege blijven.";"Nee";NA;NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"Onderling overleg tijdens het tentamen. Uitwisselen van tentamenvragen en -antwoorden e.d.";"Sancties. Het fraudebeleid is niet aangescherpt, maar net zo toegepast als eerder. Het aantal is veel groter.";"Ja, wij zien een toename van 50% of meer";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen";NA;NA;"Ja, namelijk..";"Nee, maar er zijn wel regels opgesteld specifiek bedoeld voor gedrag tijdens online tentamens. Het fraudebeleid zelf is daarbij niet gewijzigd.";"Ja, dit heeft de volgende gevolgen:";"Onregelmatigheid = tentamen kan niet worden nagekeken om welke reden dan ook.
Fraude = student maakt zich schuldig, additionele sanctie, meestal dat de student geen toegang krijgt tot de eerstvolgende tentamengelegenheid.";"wo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";"Mijn antwoorden mogen publiek bekend worden gemaakt, maar dan slechts anoniem."
27;"Technical realizability and reliability of online proctoring";"Fraud in unproctored exams";"Processes for dealing with the large amounts of fraud/irregularities occurring";"Processes for dealing with changes to exams";"Communication with students around exam regulations";"1";"1";"1";"1";NA;"We consider remote proctoring to offer the only reliable way of remote examination in the majority of  our courses.  This is from evidence of large scale fraud in multiple unproctored exams.  The technical implementation of remote proctoring (Mobius + RPNow) is pretty poor.  This causes continuous issues that take time to resolve.";"We require changes to exams to pass through us as usual.  This means were are currently approving all exams in our faculty on an individual basis.  This is necessary both because of our need to keep track of the number of unproctored exams (and keep their numbers low), and because of privacy documentation requirements around remote proctored exams.";"For all exams we require individual requests for particular exam forms.  For unproctored exams we require a report after the exam.  For other exams we rely on usual reporting of issues only.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"I thought that was our job...";NA;"We are requiring remote proctoring for the majority of exams.  We see it as a necessary evil - while being concerned about the security and professionalism of the service we are using (RPNow).";"We see rather the question reversed: we keep strict conditions on the use of unproctored exams.";"Ja, namelijk...";"No, we are trying to guarantee the quality of the existing exams using online proctoring.  As such the final level should be more-or-less guaranteed as before.";"Yes, we have limited personnel (with many times the tasks of pre-corona)";"Reliable information over the digital aspects of remote examination";"Support of the CBE, including legal expertise";"Ja";"Ja";"Nee";"Ja, namelijk ...";"Mass fraud in unproctored exams.  In one course estimated 15% of students working together on an individual exam.  In another course estimated 25% of students taking answers directly from a solution manual.";"We have cancelled exams, attempted to increase penalties, improved communication towards students.";"Ja, wij zien een toename van 50% of meer";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Take-home tentamen,Anders, namelijk ...";"Big factor is exams with similar questions in previous years (for which solution manuals are often available)";"Reliable online proctoring at scale.";"Ja, namelijk..";"We consider fraud in unproctored exams to be more serious.  However our CBE does not agree.";"Ja, dit heeft de volgende gevolgen:";"Irregularities are dealt with by the secretary, with a two-strike rule.  Only a warning for a first offense; a second offense the same kind cancels the grade for that exam";"wo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";"I'd really like to read the results of this survey as soon as possible - please notify us when they are ready,"
29;"Proctoring in thuissituatie";NA;NA;NA;NA;"1";NA;NA;NA;NA;"toetsen op afstand  kan alleen in noodgevallen. Studenten moeten getoetst kunnen worden in ruimten met voldoende surveillance. 

Wat wel beter kan is samenwerken (student maakt toets op locatie bij andere instelling in toetszaal)";"alles hierboven + ongeldig verklaren toetsen";"na corona weer on campus toetsen. We willen ook ecperimenteren met yoetsen op byod";"Deze kwaliteitsaspecten wegen minder zwaar, omdat...";"Crisis en we moetën behelpen. Beyrouwbare toetding thuis kan niet. Valide is mn afh van kwaliteit toets en de toetsvragen. Hieraan is geen concessie gedaan.. 
";NA;NA;"proctoring kan in toekomst mits in gecontroleerde omgeving afgenomen. In thuissitustie is het compleet wsssen neus.";"alleen in gecontroleerde omgeving op locatie.";"Nee";NA;NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"Met game streaming capturing software tentamen streamen. Via livedtream kon tentamen worden gevolgd";"ongeldigverklaring";"Ja, wij zien een toename met ca. 25 tot 50%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen)";NA;"niet meer thuisproctoren";"Nee";NA;"Ja, dit heeft de volgende gevolgen:";"andere strafmaatregelen (waarschuwing bij onregelmatigheid)";"wo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
30;"Fraude bij online tentaminering";NA;NA;NA;NA;"1";NA;NA;NA;NA;"De balans tussen het voorkomen van fraude en het beschermen van de privacy is (en blijft) lastig.";"Bij alle aanpassingen heeft de examencommissie het uiteindelijke besluit genomen.";"Hoewel de examencommissie alle besluiten heeft genomen over toegestane aanpassingen van de toetsing en dus een volledig overzicht heeft van de inrichting van de toetsing van de opleiding, is het niet altijd te voorkomen dat examinatoren daar van afwijken. Als dit wordt ontdekt wordt de examinator hier wel op aangesproken.";"Deze kwaliteitsaspecten wegen minder zwaar, omdat...";"het anders onmogelijk is de tentaminering bij vakken met veel studenten te laten doorgaan";NA;NA;"De examencommissie is hierover altijd goed geïnformeerd en zijn daar positief over.";"Voorkomen van fraude";"Nee";NA;NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"teveel om op te noemen ....

Studenten die onderling contact hebben gehad tijdens het tentamen: Computer programmeeropgaven die teveel op elkaar lijken, wiskundige uitwerkingen die teveel op elkaar lijken. In een aantal gevallen is dit ook vastgesteld door de examencommissie en hebben de studenten bekend te hebben samengewerkt.";"In individuele, ernstige, gevallen met een sanctie voor de student:
- bij de eerste keer cijfer ongeldig
- bij de tweede keer uitsluiting van een aantal tentamens (bijvoorbeeld gedurende een kwartaal)
- bij de derde keer uitsluiting van de opleiding (is 1 keer gebeurd afgelopen jaar)";"Ja, wij zien een toename van 50% of meer";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Take-home tentamen";NA;NA;"Nee";NA;"Ja, dit heeft de volgende gevolgen:";"Onregelmatigheden leiden nooit tot een sanctie voor de student";"wo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
32;"impact op eindniveau";"integriteit bij toetsen op afstand zonder proctoring";NA;NA;NA;"0";"1";NA;NA;NA;"toetsconstructie ligt nu beter onder de loep, daar moet continu aandacht aan besteed worden. Door digitaal toetsen is het duidelijker hoe goed vragen daadwerkelijk zijn.";"er moest een aanpassing van toetsvorm (naar digitaal en verder) worden ingediend en goedgekeurd. Ook is er advies gegeven over het inrichten van digitale (online toetsen)";"een lid is direct betrokken bij constuctie/afname en controle achteraf";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"de kwalificaties niet zijn veranderd en de waarde van het diploma ook niet.";NA;"Een van de leden is betrokken geweest bij pilot met proctoring; hogeschool heeft ervoor gekozen dit (nog) niet in te zetten. De examencommissie is voorstander van surveillance, maar moet privacy in het achterhoofd houden.";"veilig programma dat duidelijk aan/uit gezet kan worden.";"Nee";NA;"inhoudelijke kennis van digitale toetsprogramma's";NA;NA;"Nee";NA;NA;"Ja, namelijk ...";"whatsappgroepen (of andere vormen van communicatie) tijdens tentamens. 
copy pasten van sites (en toetsomgeving daarvoor verlaten)";"afhankelijk van het bewijs: ongeldigverklaringen en sancties";"Ja, wij zien een toename met ca. 10 tot 25%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen)";NA;"proctoring zou enorm helpen";"Ja, namelijk..";"er zijn beschikkingen over het nabellen/navragen na afloop van een toets.";"Ja, dit heeft de volgende gevolgen:";"onregelmatigheid leidt tot individuele ongeldigverklaring van toets. Fraude tot een sanctie (en recidive indien van toepassing).";"hbo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
35;"veel toetsen zijn tijdens de eerste lockdown omgezet naar openboektoetsen, wat vragen opriep m.b.t. (1) toetsing van kennis op lagere bloomniveaus (2) fraudegevoeligheid m.b.t. samenwerken tijdens een openboektoets";"Tijdens de tweede lockdown speelt vooral de vraag naar toetsinzage van op locatie gemaakte toetsen, en de veiligheid van vertrouwelijke vragenbanken die daarbij een rol speelt";NA;NA;NA;"1";"1";NA;NA;NA;"* toetsinzage";"op de eerste dag van de eerste lockdown hebben examencommissievoorzitters van onze instelling in onderling overleg zichzelf proactief en nadrukkelijk gepresenteerd als gesprekspartners richting College van Bestuur en crisisteam. Sindsdien zijn examencommissies in alle relevante besluiten meegenomen.";"Besluitvorming rondom aanpassing van toetsvormen e.d. heeft schriftelijk plaatsgevonden. Deze is nog niet gearchiveerd, dat moet nog wel gebeuren";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"de waarde van het diploma dat aangeeft dat de student aan de eisen van de OER voldoet, hangt samen met de validiteit en betrouwbaarheid van de toetsen. Toetsen moeten daarom aan de basiseisen van validiteit en betrouwbaarheid blijven voldoen";NA;"Onze instelling heeft ervoor gekozen geen gebruik te maken van online proctoring. Als examencommissie hebben we landelijke ontwikkelingen dienaangaande wél nauwgezet gevolgd

Tijdens openboektoetsen vindt geen surveillance op ongeoorloofd samenwerken plaats (studenten vullen hierover wel een eigen verklaring in) en zonder online proctoring is surveillance redelijkerwijs ook niet mogelijk. De examencommissie is redelijk sceptisch over een eigen verklaring: het is beter dan niets en verhoogt de drempel op ongeoorloofd samenwerken, maar het is naïef te veronderstellen dat zo'n verklaring ongeoorloofd samenwerken geheel tegengaat.
Examinatoren is gevraagd alert te zijn op overeenkomende formuleringen die op ongeoorloofd samenwerken zouden kunnen duiden. Dit heeft niet in meldingen van vermoeden van fraude geresulteerd.";"online proctoring is volgens ons alleen zinvol als deze ook rekening houdt met de mogelijkheid van extra devices buiten het zicht van de webcam (bijv. door oogtracking, of door met twee camera's te werken). Tegelijkertijd zijn wij ons ervan bewust dat juist deze vormen van online proctoring door studenten als een grotere inbreuk op haar of zijn privacy wordt beleefd. Wij vinden het daarom belangrijk dat online proctoring alleen wordt ingezet wanneer er écht geen minder ingrijpende oplossingen voorhanden zijn, en dat de juridische grondslag ervoor goed geregeld is.";"Nee";NA;"het aantal uren dat wij in examencommissiewerk hebben gestoken overtreft ruimschoots de honorering die de opleiding daarvoor beschikbaar heeft gesteld";NA;NA;"Ja";NA;NA;"Nee";NA;NA;NA;"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Take-home tentamen,Anders, namelijk ...";"bij 'open vragen' hangt het ervan af of deze zodanig gesteld zijn dat verondersteld wordt dat de student literatuur en internetbronnen mag gebruiken";"best practices m.b.t. (voorkomen van en) detectie van ongeoorloofd samenwerken (via whatsapp o.i.d.) tijdens openboektoetsen zonder online proctoring";"Ja, namelijk..";"er is een maatregel genomen dat toetsinzage van toetsen waarvan de vragenbank ook na afname vertrouwelijk moet blijven, niet online mag plaatsvinden";"Nee";NA;"hbo";NA;"Klein (minder dan 5.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
36;"Toetsen op afstand. (Op dit moment kunnen en worden bijna alle toetsen op locatie met inachtneming RIVM richtlijnen afgenomen.)";NA;NA;NA;NA;"1";NA;NA;NA;NA;"Zalen en surveillanten. Zaalgrootte moet groot genoeg zijn. Extra surveillanten zijn nodig alle richtlijnen te handhaven.";"Gewijzigde afname-condities. Handhaven extra herkansingsmogelijkheid vanwege de pandemie.
Coulantie examen-registratie.";"Niet. Soepelheid, flexibiliteit en doorgaan zijn de primaire uitgangspunten. Het minime aantal frauderende studenten die daar misbruik van maakt, zal vrijwel zeker door gebrek aan kennis zichzelf in het opvolgende jaar te niet doen. Om die reden is wel voor het laatste jaar (derde jaar BSc, tweede jaar MSc) extra aandacht op fraude gericht. Gelukkig zijn alle toetsen op locatie en is dit niet meer dan voldoende surveillantie regelen.";"Deze kwaliteitsaspecten wegen minder zwaar, omdat...";"realistisch dit niet te controleren is tijdens toetsing op afstand. Alle programma's ter installatie op computer blijken uit ervaring makkelijk te omzeilen. Afwegend tegen de zeer zware en met name _wantrouwende_ privacy-invasie is het niet waard. Oplossing is elke student voor elke toets op afstand een honor-code te laten onderteken waarin wij hen op hen eerlijkheid vertrouwend niet te frauderen met ook de herinnering dat bij ontdekking fraude er zware consequenties zijn.";NA;NA;"nvt";"Online proctoring is bewust afgewezen en afgeraden; zie hierboven.";"Nee";NA;NA;NA;NA;NA;NA;NA;"Nee";NA;NA;NA;"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen)";NA;"nvt";"Nee";NA;"Nee";NA;"wo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
37;"Fraudegevoeligheid on-line tentamens";"Extra belasting op de examinatoren";"Studenten die zogenaamd niet aan een on-campus tentamen kunnen meedoen vanwege de Corona maatregelen";NA;NA;"1";"1";"1";NA;NA;"Verwacht wordt dat een aantal docenten zal willen vasthouden aan on-line toetsen met alle problemen";"Er is zeker bemoeienis geweest door met name door faculteiten en het opleidingsbestuur.";"Via de examinatoren die veel vrijheid hebben gekregen in de inrichting van de toetsing zolang de kwailteit van de tentamens is gewaarborgd,";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"Daar zou geen verschil in moeten zijn. Dat neemt niet weg dat fraude door on-line toetsing zal zijn toegenomen";NA;"Er is veel vrijheid van examinatoren in het toepassen van on-line surveillance. Wel is het belangrijk dat de examencommissie uiteindelijk de (eventuele) rapportage van de surveillance beoordeelt en eventuele sancties uitdeelt.";"De proctoring moet universitair zijn toegestaan en de beoordeling van de rapportage moet in handen blijven van de examencommissie.";"Nee";NA;NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"Tuurlijk. Raadplegen van internet, andere studenten, studiemateriaal, etc.";"Bij bewezen fraude is doorgaans het tentamen ongeldig verklaard en is de overtreding opgenomen in het studentendossier";"Ja, wij zien een toename van 50% of meer";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen";NA;NA;"Nee";NA;"Nee";NA;"wo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
39;"de online toestomgeving";NA;NA;NA;NA;NA;NA;NA;NA;NA;"nog steeds zijn er zaken te verbeteren:
De surveillance, de controle op de inschrijving,  welke studenten zijn  wel/niet aanwezig, het handmatig  bijhouden daarvan en de foutgevoeligheid daarin,  de mogelijkheid om later dan de starttijd nog in te loggen, uitloggen zonder afmelding, internet storingen waardoor de surveillance niet goed kan plaatsvinden. 
";"alternatieve vorm van toetsing en wijzigingen datum toetsing is veelvuldig langsgekomen in afstemming met de OC.";"dat gaat in nauw overleg met het toetsbureau van de academie  en de betrokken examinatoren.";"Deze kwaliteitsaspecten wegen zwaarder, omdat...";NA;NA;"het online toetsen vraagt veel nieuwe stappen en heeft daardoor veel kinderziektes (gehad)waar we nog steeds mee kampen. Er zijn veel meer meldingen van mogelijk Fraude";"Het blijkt dat de de online surveillance veel haken en ogen heeft. Veel stappen in de surveillance en d zijn nog mensenwerk of handwerk; instructie studenten, instructie surveillanten, stappen in het proces, communicatie tijdens de toets. er is nog veel te verbeteren";"Wij hebben geen (principiële) voorwaarden. maar de randvoorwaarden tellen net zo zwaar.";"Nee";NA;"Duidelijke  en tijdige communicatie mbt  uitgangspunten online toetsen.";"Overwegingen in keuzes voor vormen van surveilleren.
proctoring was te duur?  of was er een probleem met de privacy?";NA;"Ja";"Ja";NA;"Ja, namelijk ...";"er is en vermoeden dat er veel pogingen tot fraude zijn geweest. Uit beeld zijn, geen reactie op de chat( ja maar dat hoor ik immers niet...) foto's maken van de vragen etc. Alles is langsgekomen maar niet hard te maken.";"er zijn steeds aanpassingen/ verbeteringen  gedaan in het proces van toetsing. Door de grote aantallen van  surveillance protocollen zijn we overgegaan tot navraag dmv steekproeven ipv alle studenten te horen. Er zijn meer waarschuwingen gegeven, minder sancties omdat de inrichting en surveillance vaak gebrekkig was/is.";"Ja, wij zien een toename met ca. 10 tot 25%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen)";NA;"Een deugdelijk systeem waar een aantal automatische stappen in geplaatst zijn.
Voorbeeld; bij afronden toets  automatisch  uit de online omgeving worden verwijderd.
voorbeeld; geen inschrijving; geen toetsmogelijkheid 
Voorbeeld; toegang enkel op moment van starten toets
Voorbeeld; communicatie mogelijkheden voor surveillant anders dan de chat.";"Ja, namelijk..";"Er is meer  rekening gehouden met de  soms onvoorspelbare omstandigheden. daardoor zijn we milder geweest in het opleggen van sancties.";"Ja, dit heeft de volgende gevolgen:";"Een onregelmatigheid geeft een waarschuwing,
fraude geeft een sanctie.";"hbo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
42;"Controle op fraude (ongeoorloofd samenwerken)";"Toestaan van gebruik proctoring";"Moeten we milder zijn op plagiaat en fraude gegeven de situatie?";NA;NA;"1";"0";"1";NA;NA;"Na de coronaperiode hopen we weer volledig op de campus te toetsen. Plagiaatcontrole voldoet voor assignments als toetsing.";"Advies aan docenten, regels voor mondelinge toetsing opgefrist, regels voor proctoring opgesteld, milder geweest over plagiaat en fraude.";"Ik begrijp de vraag niet.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"Er wat kwaliteit betreft niets veranderd is";NA;"Wij staan proctoring niet toe. Er was veel weerstand bij studenten. We staan wel toe dat studenten hun camera open moeten houden tijdens de toetsing.";"We vinden dat het de privacy van studenten schendt.";"Nee";NA;NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"Samenwerken tijdens het online tentamen.";"Gesprekken met studenten, gebruikelijke sancties opgelegd (een 1 voor het tentamen, in de meeste gevallen)";"Ja, wij zien een toename van 50% of meer";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen";NA;"Goede richtlijnen voor gewicht van de sanctie.";"Nee";NA;"Nee";NA;"wo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
43;"De organisatie van alle schriftelijke toetsen";"Het wel of niet door kunnen laten gaan van vaardigheidstoetsen";NA;NA;NA;"1";"1";NA;NA;NA;"Inhalen van toetsen die geen doorgang hebben gevonden, hoe zijn deze in te halen?";"Advies gegeven aan management over het afnemen van mondelinge toetsen via Teams (maximaal aantal en examinatoren bij groepsgesprekken)
Advies gegeven over het uitstellen van toetsen of het afnemen van toetsen in een andere vorm.
Vraag gehad over het geven van vrijstelling, niet ingewilligd.";"Alle schriftelijke toetsen zijn opgenomen in een Jaartoetsrooster, dat vanwege Corona aangepast is in een rooster per blok van 10 weken.
De toetscommissie ontvangt vooraf alle schriftelijke toetsen en de toets mag pas worden afgenomen als deze goedgekeurd is. 
Het toetsrooster wordt gecommuniceerd met Bureau Onderwijs dat voor de organisatie van de toetsing zorgt.
Na afloop van een toetsweek evalueert de examencommissie met de toetscommissie het verloop van de toetsen, benoemt knelpunten en koppelt deze terug naar het management en Bureau Onderwijs.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"de toetsing te allen tijde moet voldoen aan de kwaliteitseisen.";NA;"Bij het afnemen van schriftelijke toetsen is de vorm van surveilleren hetzelfde gebleven, alleen zitten er nu minder studenten in een lokaal. Dus in feite is de surveillance verzwaard.
Er zijn geen schriftelijke toetsen op afstand afgenomen, omdat wij niet kunnen garanderen dat er niet gefraudeerd wordt.";"Vanwege de risico's en de inbreuk op de privacy van studenten is hier niet voor gekozen.";"Nee";NA;"Vanuit de hogeschool is voldoende aandacht besteed aan ondersteuning";NA;NA;"Nee";NA;NA;"Ja, namelijk ...";"Bij toetsinzage online hebben studenten opnames gemaakt of screenprints  terwijl vooraf werd gezegd door de docent dat dit niet toegestaan was.";"De toetsinzage vindt nu op een andere manier plaats.";"Nee";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Mondeling tentamen met video-conferencing";NA;"-";"Ja, namelijk..";"Bij mondelinge tentamens kunnen studenten gemakkelijk in hun omgeving teksten ophangen. Tijdens de gesprekken wordt daarom met name ingegaan op toepassing en transfer.";"Ja, dit heeft de volgende gevolgen:";"Fraude is een vorm van onregelmatigheid. In het ""Fraudereglement"" is duidelijk omschrijven wat dit inhoudt (fraude, plagiaat) en welke mogelijke sancties er zijn.";"hbo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
44;"Legitimatie bij toetsen op afstand. Hoe weet je zeker of degene die inlogt in het digitale toetssysteem de juiste persoon is.";"Ongeoorloofd samenwerken tussen studenten via bijvoorbeeld Whatsapp-groepen";NA;NA;NA;"1";"1";NA;NA;NA;"Legitimatie op afstand en online proctoring. Mag bij onze instelling niet i.v.m. nogal strikte interpretatie van privacywetgeving.";"Managers hebben, als een alternatieve toetsvorm nodig was, een voorstel ingediend bij de examencommissie. De examencommissie heeft dit o.b.v. criteria beoordeeld en toestemming verleend (of juist niet).";"Feitelijke inrichting van toetsing: zorgen dat het toetsprogramma per opleiding goed is vastgelegd, bijvoorbeeld in een curriculumtool als act-E.
Feitelijke gang van zaken rond afname: door periodiek overleg met tentamenorganisatie en achteraf n.a.v. eventuele klachten van studenten.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"deze aspecten het fundament vormen van het borging van de kwaliteit van toetsing. Hieraan mogen en willen we niet tornen.";NA;"Via online sessies van SURF in het begin na corona-uitbraak goed zicht op gehouden, maar nadat duidelijk werd dat onze instelling online proctoring niet ging toestaan (op enkele experimenten na), zijn we het zicht op de verdere ontwikkelingen verloren. Voor summatieve toetsen waarbij het risico op (identiteits)fraude groot is én die niet via een alternatieve toetswijze afgenomen kunnen worden, zouden we graag gebruik maken van online proctoring.";"Goede balans tusssen privacy van student en zoveel mogelijk kunnen uitsluiten van fraude. Dus wel online proctoring, maar met zo licht mogelijke inbreuk op privacy.";"Nee";NA;NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"Antwoorden op tentamens uitwisselen via Whatsapp-groepen";"Melding vermoeden van fraude door examinator &gt; onderzoek en hoorzitting examencommissie &gt; eventueel ongeldigverklaring toets student + berisping";"Ja, wij zien een toename met ca. 1 tot 10%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen)";NA;NA;"Nee";NA;"Nee";NA;"hbo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
